address,sum_bought,class_bought,txs_bought,sum_sold,class_sold,txs_sold
\x443d1f8a358b8f76df166e7c59afd4cba70073c7,790433.85844814,10K+,229,993295.97128496324,10K+,296
\xf9107317b0ff77ed5b7adea15e50514a3564002b,516919.594612328861652,10K+,497,1802838.091185,10K+,413
\xb08f95dbc639621dbaf48a472ae8fce0f6f56a6e,284415.155020070483,10K+,269,649577.46660570255266,10K+,482
\x58dc53f7175fdd30c70ab5717c6e91edd8aed017,279071.007827076863,10K+,132,338316.312106,10K+,84
\x1d5565705bdd78b9c1742acab729c0ce1cb2a2d4,195777.87419097138,10K+,31,117464.047074,10K+,16
\x1853dc4fbfe3b29012ac6df6ca44b4fca0aa1959,161791.097678,10K+,96,277727.084588,10K+,94
\x8d8890235639aa0715afb141fd2943f19e101e78,132567.539620,10K+,37,133833.92375,10K+,42
\x8cd3bb4fbfdfee013af5ac9c46f0c22746b095af,114572.209861,10K+,117,147191.89080,10K+,133
\x9452244fcd1acd78ed22776e1f8bcdd63bb0b074,103513.06088,10K+,16,46830.13984070445,10K+,9
\x3c1d6deb260a173059e030fa29d053545e7bc821,96900.0002972773383,10K+,21,62669.673,10K+,5
\x51ec15594230ddf21a7ea5a4ac392bb8dbda527e,96116.74269120466,10K+,104,172671.298741802031,10K+,102
\x55f5429343891f0a2b2a8da63a48e82da8d9f2f6,81639.988189,10K+,72,102514.7645217,10K+,28
\x1df428833f2c9fb1ef098754e5d710432450d706,77577.553427803609,10K+,55,44298.04782,10K+,9
\x8ed876fded3699c590be3e12cef56e23376eff3b,70091.759955,10K+,66,62647.97113,10K+,24
\xbc99c4bd93c24db1bf553f2c7f9348be639fe5b6,69328.4948684248,10K+,91,105755.24841,10K+,69
\xcda1a0ecd7d25b49ecbf0eec1f45f0b7fb59961b,65580.41920,10K+,10,150373.743731,10K+,38
\x8f97c9ba31097e5c0f96a492ecfdbf92be5b4126,51922.367508391981,10K+,26,0,0,0
\xca4ad39f872e89ef23eabd5716363fc22513e147,50632.231207,10K+,11,14631.157788,10K+,4
\x9ac41e441131d8bad5f165c2a8dd71e5f7bfaea8,44743.701929,10K+,36,50983.445478,10K+,23
\x7bda037dfdf9cd9ad261d27f489924aebbce71ac,44426.353425,10K+,15,36169.29,10K+,2
\x3bbbcbc1c0b584f61ed746096e7b67c6bc2dac93,42112.758545,10K+,52,45150.16594,10K+,11
\xa38e40797faa6ecbcfa4a64f14c7622d090e8a31,41449.677389,10K+,48,101936.1113803262047,10K+,88
\x963deb9191d6a7dc1fb3891d472aa358b3e4b140,41181.198412,10K+,9,7068.846,2.5K-10K,3
\xe15e365806ed3b2570455782dbec0b450354c233,35358.847900,10K+,27,31621.121237,10K+,30
\xb48d6c33a96f5519c82569b478fcd723b3a94a2a,33419.794513377,10K+,14,57072.17860,10K+,18
\xacf4c2950107ef9b1c37faa1f9a866c8f0da88b9,33291.672799,10K+,21,0,0,0
\xb188daddde4df91fd4cc4aadc5334873099d4b94,32905.76893,10K+,10,665.0523,500-2.5K,1
\x5ad9af22b0b2603d7f9d8b8fcc4d262aa6f5de87,29521.837663,10K+,29,31500.2803,10K+,6
\xe8b0016130a38f26c116576a7b13267c9fb11b59,29028.48950,10K+,5,32471.5205,10K+,10
\x2b03088c22ae484ce873f21251a2e6fd0509ea07,29024.394198,10K+,43,22422.85936,10K+,26
\x2ce1a66f22a2dc6e410d9021d57aeb8d13d6bfef,28444.71833,10K+,26,20964.82617,10K+,8
\xeccc484dd4093f62fc24c4725800013fbc2c1d15,28157.139028,10K+,12,6387.313,2.5K-10K,4
\xb328a96c16dd5598df8ba4570fdfa97b503115c4,27448.076054,10K+,39,39246.05247,10K+,23
\x9885a84930e3c8c865a1d3debdc204f990bab7c3,26766.727168,10K+,35,170113.29465,10K+,93
\xc4a69b137d22b52a36328f3ac6d5aa9984faab8e,25759.8040309,10K+,17,15183.7210,10K+,10
\x094e4b82a5722271546cca99c8c351bd840669ae,23972.009027,10K+,42,85807.713881,10K+,124
\xe74acf3b57d092db0e2f71f0435bab6ed95c3a72,23548.501983,10K+,34,21818.901729,10K+,23
\xd2f91edd7dd5388737552d18d99555313dcd78e0,23111.97520,10K+,6,8084.74,2.5K-10K,1
\xd9ec1e5dc096e92581ce073053fe422614904714,21493.1029,10K+,7,13992.151334,10K+,15
\x1754352eacb753327fec2d4f48f0fb36b672c5e0,21398.88233599334,10K+,8,0,0,0
\xbd19a3f0a9cace18513a1e2863d648d13975cb30,20956.513279,10K+,14,0,0,0
\x1e39cc29009ed4760c186d8771295c1e224882d4,20918.72058,10K+,17,100.8328,>500,1
\x682668912cb71471b87733e95a6d51af2d3b1da8,20639.1222539899304,10K+,24,14412.060920,10K+,12
\x72b2cb558bf17f9e5aa40754a4e26ec480c07554,20599.446286,10K+,22,9679.398385,2.5K-10K,10
\x7452e7d530078dbd6a2ed65007bea00a4d60f138,20594.248516,10K+,52,120183.2177271,10K+,172
\x7f51c8447ee363d7be2705163cc81f524685a008,20103.384989,10K+,27,189030.6482289,10K+,258
\x0da9cad19070e287498fe72c3c9ed657db79de1d,19005.151376,10K+,26,37796.066999,10K+,15
\xee620a0991d57f464aad452789a4564ba51245e8,18521.75239689302,10K+,25,41587.27640,10K+,20
\x8d470921050899284b451d6a65f4204eee4aaf8f,18149.679748,10K+,5,20389.719027,10K+,14
\x8d0172e88bd400884708318bac77bc69f76ae082,17230.86337609064,10K+,18,10627.33718,10K+,10
\x83b1ef2e373e58f4671f5756c74e8142dbfbbbe1,17140.356480,10K+,25,16.5475,>500,1
\x08a2615cf81852d6e31b6eeb7c3d3b613be8ab99,16499.600518,10K+,6,13413.15479,10K+,3
\x48b211039586619b04cfb3b040cdd12165e3a9cf,15951.920724,10K+,17,4101.0999,2.5K-10K,4
\xe742238845698542cb54a760328c99bcc20e6154,15935.612835,10K+,21,1208.9897,500-2.5K,4
\x8e1f868ebb90749dc6fce7e9f0e147fff59125d5,15505.74598,10K+,6,13490.8511,10K+,5
\xc136fcfb1667e5e882b94941efa104447f248560,14276.59767976951,10K+,12,8172.31447,2.5K-10K,12
\x48c3932347586d9354553c3a4ee76858e34d0cac,14209.667181,10K+,26,25464.12272,10K+,13
\x38a7d735aca3c939f189a92f41cc1f34da2907d5,13722.990300923565,10K+,17,689.9564,500-2.5K,2
\x391985fdf0f28de092027d52763621221684cadf,13524.204946,10K+,15,79190.78223,10K+,37
\x58d4f668f37ca6d3667d0a4ebbacc3f29d4b3bef,13464.493438,10K+,12,33239.2557,10K+,5
\xb7562f12e41c762cecda99d62bd6eac7b0c3b4c1,13379.00862343,10K+,51,13161.23139,10K+,4
\xbd1f7d88c76a86c60d41bddd4819fae404e7151e,12399.49670,10K+,17,1117.17633,500-2.5K,6
\x896002e29fe4cda28a3ae139b0bf7bac26b33a8c,12309.138845,10K+,9,383.852058,>500,2
\x92a4f58009df9eac5f2af6d05977683639f0060e,11931.819416,10K+,19,6922.2936,2.5K-10K,3
\x83c9440dc34da00c47a0d4dc2b598d7bdb1b53f7,11431.75189411904257,10K+,158,5709.468234,2.5K-10K,67
\x85162b355eee83ed8d29c3cada25b80ca86e80d1,11416.11347,10K+,13,6456.1638,2.5K-10K,2
\x6b545f95840093eee6c26c766b33822e1ec9de7a,11317.6718,10K+,2,12451.1556,10K+,2
\x501783e585936116220b5028c4c22dc9fdb991bc,11055.40824,10K+,5,49354.045814,10K+,31
\x968a0e5603c5d4dbf24cbd7df562921d158ad19c,10511.03454353,10K+,91,33152.87578,10K+,8
\x341d2d099d0ad1986ce5e549a1a15631163877d6,10258.12880,10K+,4,23295.69681,10K+,12
\x906c9dba4db793d84b535c3712b79da63368ed3c,9974.38563,2.5K-10K,4,18814.0812,10K+,3
\xb2f456886367c8e50566377ec6d9293d4da5bb81,9835.346033,2.5K-10K,45,37470.935793,10K+,66
\x398738f63ad44302c5c4e718bdab6c1da2a11cf1,9781.0065,2.5K-10K,8,15575.64488844962,10K+,10
\x0c387030a5d3acdcde1a8ddaf26df31bbc1ce763,9416.690944,2.5K-10K,9,9605.87419,2.5K-10K,16
\x3e86eac93a2dbb4faeb8709d77d451aeda710ef9,9249.980422,2.5K-10K,7,6.2583,>500,1
\xd5a191afe4c240f2ed31049aacaf5eba4112e041,9067.485524,2.5K-10K,5,605.86564,500-2.5K,2
\xb24156b92244c1541f916511e879e60710e30b84,8908.738381,2.5K-10K,4,12497.0450,10K+,4
\x2cc5a915d693dd97b0fb01d11a4cccb077fd8102,8880.206407,2.5K-10K,2,1870.8336,500-2.5K,1
\xa54a24f7aa6538ec46c8cc5ee9aed158c0624ec1,8828.8295243,2.5K-10K,24,1869.2874,500-2.5K,4
\x0fa699182dfa78f1a22f8abd4c93923dce5d653a,8655.224263,2.5K-10K,17,19335.027294,10K+,21
\x0e2b29408e475567eef4d0e729915f2a38521844,8538.728193,2.5K-10K,8,11662.04878,10K+,6
